row ID,x,y,z,r,"Benzenepropanoic acid, 4-hydroxy-",4-Methylcinnamic acid,8-Methylnonanoic acid,Diethyltoluamide,Caffeine,delta-Dodecalactone,N-Tetradecanoyl-L-homoserine Lactone,Diphenhydramine 147-24-0,Myristic acid ethyl ester,"cis-9,10-methylene-hexadecanoic acid",Diisobutyl phthalate,"Conjugated linoleic Acid (10E,12Z)",Iodopropynyl butylcarbamate,Oleic acid,(-)-Epicatechin,Dihydrosphingosine (19:0),Phytosphingosine,Monoelaidin,Sodium laureth sulfate + Na,Dioctyl phthalate,Tributoxyethyl phosphate,Hydrocortisone valerate
Plate7_V4_GG10_01_17106,54.811,-40.437,44.2544,0.6,0,0,5446.720215,28203.09961,0,0,15158.7002,0,0,0,14789.59961,11090.2998,0,75681.29688,0,12226.90039,11863.09961,7056.089844,0,8613.419922,40358.60156,0
Plate7_V4_GG11_01_17107,57.6147,-41.7123,57.9385,0.6,5380.009766,0,1668.52002,66832.60156,14435.2998,0,6541.819824,0,0,0,19268.90039,16259.2998,5305.830078,42925.10156,0,28963.30078,13449.7998,8361.370117,0,19156.80078,10036.09961,0
Plate7_V4_GG12_01_17108,57.7816,-41.736,58.4973,0.6,0,0,0,31496.09961,0,0,5497.120117,0,0,0,20582.5,11229.90039,4714.299805,33820.10156,0,0,7411.459961,5349.919922,0,8215.959961,8273.459961,0
Plate7_V4_GG1_01_17097,56.0201,-42.4248,55.0223,0.6,0,0,5119.910156,30220.80078,2756.389893,0,13180.5,0,0,0,18526.69922,16524.5,0,95309.70313,0,0,0,10970.90039,0,8772.30957,25047.90039,0
Plate7_V4_GG2_01_17098,55.651,-42.413,52.593,0.6,36605.30078,0,7266.399902,45856.69922,13977.7002,0,19905.09961,0,0,0,19919.5,17621.40039,0,103858,1205.01001,10944.2002,0,8150.180176,0,10130.40039,25927.69922,0
Plate7_V4_GG3_01_17099,57.0753,-41.0569,53.6267,0.6,0,0,4907.220215,47742,6475.640137,0,19436.80078,0,0,0,17381.19922,13489.7002,0,72785.5,12208.5,10219.7002,8595.120117,4952.390137,0,14349.7998,29755.59961,0
Plate7_V4_GG4_01_17100,55.4405,-42.6316,50.6687,0.6,41965.69922,0,6678.459961,0,0,0,14607.59961,0,0,0,21738.69922,16683.19922,0,28110.90039,0,18038.19922,15412.09961,11274.2002,0,15151.7998,31590.80078,0
Plate7_V4_GG5_01_17101,56.7674,-41.5091,50.405,0.6,0,0,4484.160156,22653.19922,0,0,13451.90039,0,0,0,14501.7002,22874.69922,0,23856.19922,0,98962.70313,0,15504.2002,0,8216,22542.80078,0
Plate7_V4_GG6_01_17102,56.2388,-41.5105,47.681,0.6,55895.89844,0,7118.660156,22622.69922,0,0,13159.2002,0,0,0,14046.90039,20432.09961,0,26399.09961,0,10187.5,1696.219971,5408.580078,0,9457.44043,34720.60156,0
Plate7_V4_GG7_01_17103,55.3651,-42.2362,47.0722,0.6,16062.2002,0,3733.51001,27787.69922,29055.59961,0,19762.80078,0,0,0,13028.7998,15291.7002,0,24732.80078,5390.97998,7714.97998,0,14693.7002,0,10462.7998,26777.40039,0
