row ID,x,y,z,radius,Tryptophan,Hexadecenoic acid,Triethyl citrate,Octadecenoic acid,Piperine,Sphingosine (d17:1),Epicatechin,Aspartame,4-Sphingenine,Fluconazole,Avobenzone,Phytosphingosine,Monoethanolamine oleic acid amide,Erucamide,Cocamidopropyl betaine,Sodium Laureth Sulfate,Octocrylene,Tangeretin,Sodium laureth sulfate + Na,7-Ketocholesterol,Nobiletin,Azoxystrobin,Amlodipine,Taurocholate,Oleoyl lysolecithin,Sphingomyelin,Lactosylceramide
P3_Vol4_Computer_RA7_01_5873,1.77623,0.696357,0.565976,0.05,0,63230.80078,0,79305.5,33667.19922,0,33213.39844,0,675340,1216510,743315,0,0,668215,2134040,93967.5,7094.660156,52102.19922,53884.60156,94563,44786.30078,0,0,0,0,0,0
P3_Vol4_Computer_RA8_01_5874,1.721488,0.698418,0.425353,0.05,0,24437.80078,0,101241,0,0,27076.40039,0,829710,1000430,346092,0,0,719577,822102,38825.10156,6033.439941,201820,40082.69922,94477.29688,381523,0,0,0,0,0,0
P3_Vol4_Computer_RA9_01_5875,1.686407,0.690249,0.409067,0.05,0,12466,0,58412.30078,0,0,16861.69922,32780,646380,1172610,109287,0,0,1086250,644763,27976,0,0,38556.30078,10767.7002,0,0,0,0,0,0,0
P3_Vol4_Desk_RE10_01_5929,1.032112,0.874984,1.554458,0.05,0,64164.5,0,108841,0,0,14515.2998,71487.89844,61872.19922,669041,279301,0,0,1236900,2417340,141905,422056,0,95793.10156,673602,0,0,0,0,0,7111.47998,55535.10156
P3_Vol4_Desk_RE11_01_5930,0.890284,0.86172,1.434446,0.05,0,66715.79688,0,86048,0,0,22920.19922,198928,107644,374064,210100,0,0,2269420,2740030,108540,212070,0,66975.89844,584638,0,0,0,0,0,0,0
P3_Vol4_Desk_RE5_01_5924,1.011975,0.846538,1.643478,0.07,0,270624,0,69255.39844,0,9674.19043,0,0,22201.59961,1058080,73074.5,0,0,1016530,1369330,55172.39844,131856,0,22946.09961,196099,0,0,0,0,0,0,0
P3_Vol4_Desk_RE6_01_5925,0.888648,0.842716,1.61382,0.07,13824.59961,323081,0,202966,0,10229.59961,0,0,81260.5,1067180,196413,0,0,531059,2748870,123970,301449,0,53559.89844,606526,15578.59961,0,0,0,0,0,0
P3_Vol4_Desk_RE7_01_5926,0.829457,0.841143,1.470181,0.07,0,48411.19922,0,36327,0,44071.89844,0,0,32064.5,1004790,31481.09961,0,0,358616,553505,23582.80078,75032.10156,0,17791.80078,158107,0,0,0,0,0,0,0
P3_Vol4_Desk_RE8_01_5927,1.327209,0.860688,1.790368,0.05,0,55539.80078,0,154932,0,27212,0,0,12550.40039,455691,179823,0,0,1196720,1681470,60094.5,389712,0,63437.89844,396867,0,0,0,0,0,0,0
P3_Vol4_Desk_RE9_01_5928,1.129566,0.857644,1.634384,0.05,12158.7002,318733,0,192555,0,0,0,0,150345,497560,295268,0,0,1491410,3146970,144019,320019,0,144926,590045,15814.5,0,0,0,0,9957.820313,0
P3_Vol4_Phone_RE12_01_5932,0.669799,0.753025,1.350645,0.05,177090,152489,0,152745,0,0,0,0,124958,940775,28036.69922,0,0,2256750,3394760,202383,352594,0,94843.29688,1501220,0,0,0,0,0,0,0
P3_Vol4_Table_RC10_01_5903,1.650021,0.832657,0.425379,0.05,0,195590,0,178619,0,0,0,0,359186,1154820,106953,0,0,3937950,3301110,275460,187994,15757.2998,129189,510507,14936,0,0,0,0,0,0
P3_Vol4_Table_RC11_01_5904,1.297309,0.823245,0.582955,0.05,0,218297,0,321080,0,0,16490.40039,0,269109,1274740,174021,0,0,1861980,3394760,140826,213562,0,78411.10156,887043,0,0,0,0,0,0,13201.7002
P3_Vol4_Table_RC12_01_5905,1.397311,0.846453,0.99501,0.05,0,140890,0,82342.10156,0,0,15620.90039,0,187941,1191760,16624.30078,0,0,1685920,2912260,92907.70313,61485.80078,0,52127.5,528643,0,0,0,0,0,0,0
P3_Vol4_Table_RC2_01_5894,1.418395,0.827076,0.873178,0.05,57041.69922,403243,0,402131,0,10859.59961,0,0,241587,1298590,76665.89844,0,0,350131,3353790,183483,254672,0,94536.39844,698877,0,0,0,0,0,0,0
P3_Vol4_Table_RC3_01_5895,1.63633,0.828876,0.90924,0.05,45763,981948,0,382811,0,4393.540039,10966,0,265609,1122350,97426.10156,29240.59961,22909.59961,487027,3134230,115451,196071,0,109010,1022360,0,0,0,0,0,0,0
P3_Vol4_Table_RC5_01_5897,1.6674,0.833075,0.803793,0.05,86707.89844,588802,0,414945,0,0,0,0,281354,1094590,91826.79688,0,0,381883,3433670,137083,357216,0,95008.70313,908368,0,0,0,0,0,0,0
P3_Vol4_Table_RC6_01_5898,1.683417,0.833601,0.657002,0.05,13429.2998,323587,0,283639,0,0,19277.80078,0,429633,1146060,270792,0,6461.560059,897062,4213800,304530,467555,11736.2998,145730,821687,5611.200195,0,0,0,0,0,0
P3_Vol4_Table_RC7_01_5899,2.048518,0.833516,0.920363,0.05,0,279754,0,135563,0,11930,18722.59961,0,252128,1246590,165312,0,0,391712,2301390,86382.10156,75000.79688,0,45946.60156,307167,0,0,0,0,0,0,0
P3_Vol4_Table_RC8_01_5901,1.679185,0.832215,0.565401,0.05,0,430141,0,179663,0,0,10710.5,0,146639,1224460,401592,0,0,1050330,3088650,174189,140505,0,89073.20313,413807,0,0,0,0,0,0,0
P3_Vol4_Table_RC9_01_5902,1.946912,0.83667,0.309502,0.05,0,154388,0,94236.89844,0,0,21822.40039,0,200397,1195020,158717,0,0,1984790,4037540,278080,104315,0,97934.10156,108580,0,0,0,0,0,0,0
P3_Vol4_Table_RD1_01_5906,1.61344,0.840008,1.102368,0.05,17091,274118,0,134525,0,0,0,0,105598,1202970,72232.20313,0,0,696470,3398950,108436,161143,22970.5,53824.5,481855,33018.80078,0,0,0,0,0,0
P3_Vol4_Table_RD2_01_5907,2.142228,0.849227,0.610601,0.05,0,354536,0,178687,0,0,0,0,191927,1139350,130954,0,0,790539,2994340,109660,113617,7114.72998,57749.10156,445884,53795,0,0,0,0,0,0
