row ID,x,y,z,r,Phenylalanine,Isopentenyl pyrophosphate,Diethyltoluamide,Dimethyl phthalate,Caffeine,delta-Dodecalactone,L-Tryptophan,N-Tetradecanoyl-L-homoserine Lactone,Glycyl-L-phenylalanine,Oxybenzone,Diethyl azelate,Myristic acid ethyl ester,"cis-9,10-methylene-hexadecanoic acid",Doxylamine,Dextromethorphan,4-Acetylpiperidinium Chloride,Diisobutyl phthalate,"Conjugated linoleic Acid (10E,12Z)",Oleic acid,(-)-Epicatechin,Avobenzone,Dihydrosphingosine (19:0),Phytosphingosine,Sodium Laureth Sulfate,Monoelaidin,Hexapropylene glycol,Sodium Laureth Sulfate + Na,Dioctyl phthalate,Tributoxyethyl phosphate,Glycodeoxycholic acid,Glycocholic acid
Plate3_V3_rerun_F2_01_11766,,,,,0,0,35554.89844,0,0,30395.59961,1833640,25525.40039,0,163272,0,0,17552.90039,0,81847,0,22847.09961,13016.59961,70364.89844,0,326728,0,26127.09961,56892.5,0,0,32387.09961,21245.19922,9836.290039,0,0
Plate3_V3_rerun_G10_01_11769,-4.0672,-4.6489,59.8118,0.6,0,0,117531,0,0,0,234944,80191,0,52388.19922,39549.30078,166276,292650,0,111838,0,35622.80078,40492.60156,312030,0,33585.89844,12055.5,178937,45814.69922,0,0,28442.59961,25818,30730.40039,32708.5,13049.09961
Plate3_V3_rerun_G1_01_11767,,,,,0,0,34142.10156,0,0,0,391708,27102.59961,0,112242,10063.5,0,15896,0,93939.89844,22558.40039,28042,14295.2998,38609.89844,0,46800.10156,0,111834,31173.19922,0,0,19517.5,6544.700195,16567.19922,29015.09961,8566.719727
Plate3_V3_rerun_G3_01_11768,,,,,0,0,92082.60156,0,0,0,375018,59692.19922,0,270461,0,6338.819824,48071.80078,0,125400,0,30646.19922,38668,135249,0,189889,0,119410,42866.30078,24412.40039,0,32898.60156,28831.09961,22012,0,0
Plate3_V3_rerun_H11_01_11787,-1.62,-4.615,48.8224,0.6,0,0,296137,0,0,0,1367130,11240.7998,0,147551,0,0,0,0,251857,0,67512.5,0,27108.59961,38208.5,0,0,5529.819824,126106,0,0,49442.69922,5072.109863,68030,0,0
Plate3_V3_rerun_H1_01_11782,-3.7506,-5.1614,57.5355,0.6,0,0,205061,0,15893.7002,9770.230469,1065780,72766.20313,0,102253,24572.90039,73091.70313,10613.40039,0,484197,17245.09961,57376.60156,46815.10156,234693,14858,60982.10156,34332.69922,33460.89844,87435.10156,0,0,66371.10156,26052.59961,52479.89844,0,0
Plate3_V3_rerun_H4_01_11783,-1.3982,-5.6056,55.1752,0.6,2580240,0,284219,0,54356.19922,45334.60156,2547350,6867.120117,34876.89844,175863,153078,97820.29688,55220.5,0,473514,0,22464.90039,44086.69922,77188,40825.69922,96573.60156,25083.80078,0,46615.5,0,0,16726.5,21336.5,21626.90039,0,0
Plate3_V3_rerun_H5_01_11784,-3.8572,-4.2714,53.9496,0.6,2723480,0,127877,0,74904.60156,10754.59961,3404630,0,50285.10156,47610.19922,68492.39844,18759.90039,7818.490234,19225.19922,1015640,0,16076.5,0,26001.90039,30487.90039,0,0,5642.779785,18573.69922,0,0,0,5974.299805,22866.40039,0,0
Plate3_V3_rerun_H6_01_11785,-1.0927,-5.3396,53.3382,0.6,2034700,0,184022,0,35267.39844,0,2383670,9566.94043,35635.39844,209886,87633.39844,0,19623.90039,0,506497,0,35561.30078,16343.2002,49775.5,23196.69922,34674,0,5106.509766,40412.89844,0,0,12969.59961,0,44146.69922,0,0
Plate3_V3_rerun_H7_01_11786,-4.2513,-3.1008,52.1398,0.6,0,0,241464,0,19742.90039,0,1382360,32725.69922,0,168347,6292.700195,6056.259766,46391.30078,0,244664,0,47937.60156,10989.59961,70123.79688,0,76296,0,14410.2998,114742,10215,0,53314.80078,11304.90039,66557.70313,0,0
Plate4_V3_BD3_01_17267,-0.4213,0.4781,38.6812,0.6,0,0,0,0,0,0,942052,0,0,0,0,0,0,0,26001.19922,0,0,0,17707.69922,159095,0,52396.69922,189947,34362.10156,0,0,12882.90039,0,15049.2998,0,0
Plate4_V3_BD4_01_17269,-0.4052,1.0981,38.7502,0.6,0,0,0,0,0,0,948306,0,0,0,0,0,0,0,19633.19922,0,0,0,10660.5,71772.20313,0,56087.5,97924.10156,15330,0,0,0,0,4742.140137,0,0
Plate4_V3_BE7_01_17270,-1.8393,2.9705,38.2845,0.6,0,0,7439.870117,0,0,0,0,0,0,0,0,0,0,0,111183,0,0,0,12601.7998,60753,0,0,99621.39844,21036.90039,0,0,0,0,0,0,0
Plate4_V3_GA10_01_11831,-1.8478,-4.7813,22.9718,0.6,0,0,36311.19922,0,55164.39844,0,1511490,24932.69922,0,138246,0,7712.759766,25952.80078,102529,1623300,0,42988.39844,11696.40039,96507.89844,0,83649.60156,0,234805,160828,0,0,44938.39844,23388.69922,74850.79688,0,0
Plate4_V3_GA11_01_11832,-5.7789,-3.8876,20.4314,0.6,0,0,17633.5,0,112330,0,790202,19036.40039,0,196290,0,0,0,63976.30078,1771100,0,35813.69922,8738.209961,37677.89844,0,101480,6943.200195,205343,85352.5,0,0,32275,19770.90039,49683.10156,0,0
Plate4_V3_GA12_01_11909,-2.4289,-4.3665,20.4085,0.6,0,0,31096.59961,0,41293.19922,0,1477760,17637.59961,42644.89844,361171,0,0,0,86647.20313,1840970,0,46862,0,52850.89844,0,73306.10156,0,145046,201485,0,0,37443.60156,31604,87489.10156,0,0
Plate4_V3_GA2_01_11899,-1.4371,-4.136,31.5645,0.6,0,49189.19922,197538,0,0,0,415040,17725.40039,0,27834.19922,0,0,23030.90039,0,245458,0,48555.30078,29393.30078,168333,0,39773.60156,13027.40039,270022,123716,24703.5,0,75317.10156,58015.69922,51083.19922,0,0
Plate4_V3_GA4_01_11903,-5.1397,-5.4748,29.569,0.6,0,0,146471,0,0,0,431139,18890.30078,0,26915.90039,0,0,0,0,962824,0,41325.19922,21319.40039,77413.89844,0,0,38536.39844,247900,104049,0,0,61036.10156,74213.70313,36131.30078,0,0
Plate4_V3_GA6_01_11898,-3.3862,-5.8188,28.0859,0.6,0,0,81128.39844,0,0,0,849128,28934.59961,0,60768.30078,0,0,12187.2002,0,1227060,0,55608.89844,7172.350098,137747,0,58282.5,20405.40039,235629,145532,0,0,89829.20313,152899,67310.60156,0,0
Plate4_V3_GA7_01_11907,-5.072,-5.022,25.9825,0.6,0,0,73895,0,0,0,463999,22733.90039,0,64630.69922,0,0,0,35360,1124550,0,37232.30078,16801.30078,114256,0,66669.60156,15056.90039,242296,183070,0,0,79865.39844,65364.60156,82971.60156,0,0
Plate4_V3_GA9_01_11830,-4.7915,-4.9543,23.2234,0.6,0,0,39857.60156,0,107521,0,387840,28753.09961,0,134303,0,0,36032.19922,71207.5,1930270,0,34706.60156,14461.2998,111805,0,91988.60156,25332.59961,229462,106571,0,0,41913.30078,18828.30078,45355.39844,0,0
Plate4_V3_GB10_01_11842,-0.7939,-2.0008,29.3572,0.6,0,0,26734.5,0,0,0,523201,15280.7002,0,45321.60156,0,0,0,0,480043,0,32284.5,24606.90039,101676,21437.19922,69295.79688,0,221956,88129,10158.2002,0,51822.89844,55952,53618.89844,0,0
Plate4_V3_GB11_01_11918,-1.652,-4.5721,31.1325,0.6,0,0,43350,0,0,0,1296700,26217.40039,0,82884,0,0,0,0,756375,0,48792.69922,55549.5,104655,0,68632.10156,28117.59961,258690,143634,0,0,73638.5,41218.89844,55556.19922,0,0
Plate4_V3_GB12_01_11919,-1.6405,-4.1464,33.9885,0.6,0,458708,36976.19922,0,0,97885,1032410,15524.2002,0,7567.879883,0,0,0,0,207341,13544.59961,28781.69922,13789.5,43293.5,0,0,0,187920,102191,0,0,56277.60156,14001,28508.19922,0,0
Plate4_V3_GB2_01_11911,-6.5662,-3.4547,15.5135,0.6,0,0,20193.5,0,69568.89844,0,547915,7515.299805,0,247879,0,0,0,93668.70313,1830620,0,39246.39844,0,47977.80078,0,85125,0,109818,82945,0,0,26028.90039,18316.40039,62464.19922,0,0
Plate4_V3_GB3_01_11902,-3.194,-4.1897,16.0958,0.6,0,0,32637.80078,0,60989.80078,0,973977,23939.59961,0,442740,0,0,0,68862.20313,1535550,0,43079.10156,0,71466.39844,0,113166,9125.240234,135539,180528,0,9929.490234,36626.60156,50629.60156,134861,0,0
Plate4_V3_GB5_01_11827,-5.7743,-2.6204,9.0907,0.6,0,0,11447.40039,0,61851.80078,0,2090770,18943.30078,0,104138,0,0,0,105332,1390180,0,27187.19922,9711.990234,59691.19922,26598.80078,83971.5,36494.69922,152616,62196.39844,0,0,25326.19922,25004,65628.79688,0,0
Plate4_V3_GB6_01_11916,-3.9375,-3.7198,8.7877,0.6,0,0,23301.69922,0,33389.80078,0,1320220,17501.69922,0,223687,0,0,0,48774.39844,1077400,0,39761.89844,0,57520.69922,0,53138,97254.60156,125367,102059,0,0,30183.5,21431.90039,68135.10156,0,0
Plate4_V3_GB7_01_11839,-5.2709,-2.443,6.5123,0.6,0,0,11330.7998,0,57214.39844,0,839612,14341.7998,30558.5,44352.5,0,0,0,67484.79688,1134680,0,22467.5,0,50086.80078,0,53998,0,100648,57450,0,0,17990.59961,30626.90039,38327.5,0,0
Plate4_V3_GB8_01_11917,-3.7599,-3.4396,5.698,0.6,0,0,14153.09961,0,70314.20313,0,1277210,12359.90039,0,108162,0,0,0,45350.60156,1576650,0,42772,0,43881.80078,0,58226.39844,101989,101870,74083.70313,0,0,24368,27768,106203,0,0
Plate4_V3_GB9_01_11841,-3.4962,-5.3058,21.7917,0.6,0,0,38044.10156,0,42360.89844,0,1196390,55897.89844,0,192555,0,0,76944.5,101135,2126430,0,36411.69922,27609.59961,219720,15237.40039,107346,13804.7998,202948,102313,21514.40039,0,48380.89844,45125.80078,44536.30078,0,0
Plate4_V3_GC10_01_11859,-1.3241,-2.9979,40.0022,0.6,0,0,31684.19922,0,0,0,4835590,29004.30078,0,0,0,0,87314.5,0,113162,35627.69922,37874.39844,58157.60156,257290,0,38592.10156,26761.69922,699688,139537,20393.5,0,96830.89844,21852.59961,51270.5,0,0
Plate4_V3_GC11_01_11860,-2.4082,-4.1833,38.3511,0.6,0,0,16697.90039,0,0,12064.2998,1329340,47541.5,0,6498.740234,9823.570313,0,58115.10156,0,82685.89844,0,33222.30078,26953,171758,27675.90039,28727.30078,99667.60156,321909,69070.5,0,0,65753.10156,26109.59961,28259.69922,0,0
